Rhône;Fontaines-sur-Saône;Les Marronniers
Rhône;Lyon 9e;La Duchère
Rhône;Lyon 8e;Etats Unis
Rhône;Lyon 3e et 7e;La Guillotière
Rhône;Lyon 8e;Mermoz
Rhône;Lyon 1er;Pentes Croix Rousse
Rhône;Oullins;Le Golf
Rhône;Oullins;La Saulaie
Rhône;Pierre-Bénite;Hautes Roches
Rhône;Saint-Fons;L'Arsenal
Rhône;Saint-Fons;Les Clochettes
Rhône;Vaulx-en-Velin;Cité Tase, Cité de la Balme
Rhône;Vaulx-en-Velin;Ex ZUP, Grappinière, Petit Pont
Rhône;Vénissieux;Les Minguettes
Rhône;Vénissieux;Max Barrel
Rhône;Villeurbanne;Bel Air, Les Brosses
Rhône;Villeurbanne;Les Buers
Rhône;Villeurbanne;Saint Jean
Rhône;Décines-Charpieu;Le Prainet
Rhône;Meyzieu;Les Plantées
Rhône;Rillieux-la-Pape;Ville nouvelle
Rhône;Saint-Priest;Alpes Bellevue
Rhône;Saint-Priest;Bel Air
Rhône;Villefranche-sur-Saône;Béligny
Rhône;Gleizé, Limas, Villefranche-sur-Saône;Belleroche*
Rhône;Givors;Les Vernes
Rhône;Grigny;Vallon Jayon
Haute-Saône;Gray;Les Capucins
Haute-Saône;Lure;Le Mortard
Haute-Saône;Héricourt;Les Chenevières
Haute-Saône;Vesoul;Montmarin
Saône-et-Loire;Chalon-sur-Saône;Fontaine au Loup, Le Stade
Saône-et-Loire;Chalon-sur-Saône;Prés Saint Jean
Saône-et-Loire;Mâcon;Chanaye, Résidence
Saône-et-Loire;Mâcon;Les Saugeraies, Gautriats
Saône-et-Loire;Le Creusot;Harfleur
Saône-et-Loire;Torcy;Résidence du Lac
Sarthe;Allonnes;Chaoué, Perrières
Sarthe;Coulaines, Le Mans;Bellevue*
Sarthe;Le Mans;L'Epine
Sarthe;Le Mans;Les Sablons
Sarthe;Le Mans;Ronceray, Glonnières
Savoie;Chambéry;Chambéry le Haut, Chantemerle, Le Piochet, La Cassine
Savoie;Chambéry;Le Biollay, Bellevue
Haute-Savoie;Cluses;Les Ewües
Haute-Savoie;Annemasse;Le Perrier
Paris;Paris 18e;HBM Aubervilliers
Paris;Paris 20e;HBM Ménilmontant
Paris;Paris 18e;La Goutte d'Or
Paris;Paris 10e;Porte Saint Denis, Porte Saint Martin
Paris;Paris 11e;Fontaine au Roi
Paris;Paris 17e;Porte de Saint Ouen, Porte de Clichy
Paris;Paris 18e;Porte de Montmartre
Paris;Paris 19e;Curial, Cambrai, Alphonse Karr
Paris;Paris 20e;Belleville
Seine-Maritime;Canteleu;Cité Rose
Seine-Maritime;Canteleu;Cité Verte
Seine-Maritime;Dieppe;Les Bruyères
Seine-Maritime;Dieppe;Neuville Neuf
Seine-Maritime;Dieppe;Val Druel
Seine-Maritime;Fécamp;Parc du Ramponneau
Seine-Maritime;Gonfreville-l'Orcher;Quartiers Est
Seine-Maritime;Le Havre;Caucriauville
Seine-Maritime;Le Havre;Eure, Brindeau
Seine-Maritime;Le Havre;Les Neiges
